Rk,Player,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1.0,Giannis Antetokounmpo,MIL,23.0,35.2,12.8,20.8,0.614,0.1,0.7,0.176,12.7,20.1,0.63,7.0,11.4,0.615,2.0,9.5,11.5,6.1,0.6,1.6,3.3,2.3,32.7
2.0,Nikola JokiÄ,DEN,21.0,37.3,11.8,21.1,0.558,2.1,4.4,0.489,9.6,16.7,0.575,5.2,6.6,0.797,3.8,9.5,13.3,9.9,1.8,0.7,3.9,2.0,30.9
3.0,Shai Gilgeous-Alexander,OKC,25.0,34.4,10.5,20.6,0.51,2.1,6.2,0.34,8.4,14.4,0.583,7.1,8.2,0.864,0.8,4.7,5.5,6.3,1.9,1.0,2.6,2.2,30.3
4.0,LaMelo Ball,CHO,19.0,33.7,10.4,24.4,0.427,4.6,12.8,0.357,5.8,11.6,0.505,4.8,5.7,0.835,0.9,4.5,5.4,7.2,1.3,0.2,4.4,4.0,30.2
5.0,Paolo Banchero,ORL,5.0,36.4,9.6,19.4,0.495,2.2,6.4,0.344,7.4,13.0,0.569,7.6,11.8,0.644,2.4,6.4,8.8,5.6,0.6,0.8,2.2,2.6,29.0
6.0,Luka DonÄiÄ,DAL,20.0,37.0,10.1,21.9,0.459,3.6,10.0,0.355,6.5,11.9,0.546,5.3,6.9,0.766,0.7,7.9,8.6,8.2,2.1,0.5,3.5,2.8,28.9
7.0,Jayson Tatum,BOS,24.0,36.4,9.3,20.4,0.453,3.8,10.5,0.359,5.5,10.0,0.552,5.9,7.4,0.802,0.5,8.5,9.0,5.6,1.2,0.5,2.8,2.5,28.2
8.0,Anthony Davis,LAL,25.0,35.3,10.1,18.9,0.534,0.7,2.4,0.305,9.4,16.5,0.567,6.9,8.8,0.786,2.5,8.9,11.4,3.3,1.2,2.0,2.2,2.1,27.8
9.0,Anthony Edwards,MIN,25.0,35.9,9.2,20.3,0.454,4.3,10.2,0.424,4.9,10.1,0.484,3.5,4.4,0.807,0.6,4.8,5.4,3.8,1.3,0.6,3.1,2.0,26.2
10.0,De'Aaron Fox,SAC,27.0,37.3,9.7,20.2,0.483,2.0,6.3,0.324,7.7,13.9,0.555,4.7,5.9,0.797,1.1,3.9,5.1,6.1,1.6,0.3,3.5,2.6,26.2
11.0,Kevin Durant,PHO,15.0,35.6,9.1,17.6,0.519,2.5,6.1,0.413,6.6,11.5,0.576,4.9,5.9,0.82,0.2,6.3,6.5,3.7,0.6,1.3,3.0,1.7,25.7
12.0,Damian Lillard,MIL,22.0,36.4,7.9,17.6,0.45,3.5,9.3,0.371,4.5,8.3,0.538,6.5,7.0,0.916,0.5,4.0,4.5,7.5,1.0,0.2,3.0,1.9,25.7
13.0,Devin Booker,PHO,25.0,37.0,8.1,18.5,0.437,2.8,7.9,0.35,5.3,10.6,0.502,6.5,7.2,0.9,1.2,2.6,3.7,6.4,1.1,0.4,2.3,2.3,25.4
14.0,Tyrese Maxey,PHI,18.0,36.9,8.7,21.3,0.41,2.9,9.3,0.317,5.8,12.0,0.481,4.7,5.6,0.832,0.2,3.4,3.7,5.0,2.1,0.3,2.3,2.6,25.1
15.0,Jalen Brunson,NYK,26.0,34.4,8.4,17.2,0.489,2.7,6.2,0.432,5.7,11.0,0.521,5.4,6.6,0.82,0.4,2.5,3.0,7.7,0.7,0.1,2.4,2.2,25.0
16.0,Karl-Anthony Towns,NYK,24.0,34.3,8.8,16.6,0.526,2.3,5.1,0.439,6.5,11.5,0.565,5.0,5.9,0.845,3.0,11.0,13.9,3.3,0.9,1.0,2.5,3.5,24.8
17.0,Cam Thomas,BRK,17.0,33.4,8.1,17.5,0.461,2.9,7.4,0.389,5.2,10.1,0.515,5.7,6.6,0.866,0.4,2.9,3.2,3.4,0.7,0.1,2.8,2.0,24.7
18.0,Franz Wagner,ORL,25.0,33.2,8.8,18.9,0.465,2.0,6.4,0.321,6.8,12.6,0.538,4.8,5.4,0.881,0.9,4.7,5.6,5.7,1.7,0.5,2.4,2.3,24.4
19.0,Tyler Herro,MIA,24.0,34.9,8.4,17.6,0.476,4.2,10.1,0.413,4.2,7.5,0.561,3.2,3.7,0.875,0.3,5.0,5.3,4.8,0.8,0.1,2.5,1.6,24.1
20.0,Kyrie Irving,DAL,24.0,35.3,8.9,17.6,0.504,3.1,6.6,0.468,5.8,11.0,0.525,3.0,3.5,0.88,1.1,3.6,4.7,5.3,1.2,0.3,2.2,2.3,23.9
21.0,Jaylen Brown,BOS,21.0,35.3,8.3,18.9,0.441,2.5,7.2,0.344,5.9,11.7,0.5,4.7,6.2,0.748,1.4,4.6,6.0,4.6,1.2,0.4,2.7,2.5,23.8
22.0,Victor Wembanyama,SAS,21.0,32.3,8.6,18.2,0.473,3.0,8.9,0.333,5.7,9.4,0.604,3.4,3.9,0.889,2.0,8.3,10.3,3.9,1.1,3.5,3.6,2.2,23.6
23.0,RJ Barrett,TOR,24.0,34.3,8.6,19.0,0.455,2.0,5.7,0.35,6.6,13.3,0.5,4.3,5.9,0.725,0.9,5.8,6.8,6.1,0.8,0.5,3.5,2.6,23.5
24.0,Cade Cunningham,DET,23.0,36.1,8.9,19.7,0.451,2.4,6.3,0.386,6.4,13.3,0.482,3.3,4.3,0.776,1.1,6.3,7.5,9.7,0.8,0.8,4.6,2.6,23.5
25.0,Norman Powell,LAC,20.0,32.3,8.2,16.4,0.502,3.9,8.0,0.484,4.4,8.4,0.518,3.2,3.9,0.831,0.3,2.8,3.1,2.5,1.1,0.2,2.0,2.0,23.5
26.0,Donovan Mitchell,CLE,26.0,31.9,8.3,18.6,0.448,3.7,9.2,0.404,4.6,9.4,0.492,2.9,3.7,0.8,0.5,4.2,4.7,4.5,1.6,0.3,2.1,2.2,23.3
27.0,Stephen Curry,GSW,20.0,31.0,7.6,16.7,0.452,4.3,10.1,0.421,3.3,6.6,0.5,3.6,3.9,0.923,0.5,4.7,5.2,6.7,1.3,0.5,3.2,1.0,23.0
28.0,LeBron James,LAL,24.0,35.0,8.7,17.6,0.492,2.1,5.7,0.365,6.6,11.9,0.552,3.4,4.5,0.743,1.0,7.0,8.0,9.1,0.7,0.6,4.1,1.3,22.8
29.0,Zion Williamson,NOP,6.0,31.0,7.8,17.3,0.452,0.3,1.0,0.333,7.5,16.3,0.459,6.7,10.0,0.667,2.7,5.3,8.0,5.3,0.7,1.2,3.7,3.0,22.7
30.0,DeMar DeRozan,SAC,22.0,35.5,8.2,16.7,0.493,0.7,2.1,0.319,7.5,14.5,0.519,5.4,6.3,0.856,0.5,3.4,3.9,4.0,1.6,0.5,1.7,2.0,22.5
31.0,Brandon Ingram,NOP,18.0,33.1,8.6,18.5,0.465,2.4,6.4,0.374,6.2,12.1,0.514,2.6,3.1,0.855,0.9,4.6,5.6,5.2,0.9,0.6,3.8,2.5,22.2
32.0,James Harden,LAC,26.0,33.7,6.3,16.2,0.391,3.0,8.4,0.353,3.4,7.8,0.431,6.5,7.3,0.889,0.5,5.9,6.5,8.3,1.6,0.7,4.5,1.9,22.1
33.0,Jaren Jackson Jr.,MEM,25.0,28.2,7.9,15.2,0.518,1.9,5.2,0.364,6.0,10.0,0.598,4.3,5.3,0.812,1.3,4.5,5.8,1.3,1.5,1.8,2.0,3.3,22.0
34.0,Ja Morant,MEM,16.0,28.6,7.4,16.4,0.449,1.5,4.8,0.316,5.9,11.7,0.503,5.8,6.9,0.829,0.8,3.9,4.7,8.4,1.1,0.3,3.9,1.8,22.0
35.0,Zach LaVine,CHI,23.0,33.3,7.9,15.7,0.501,3.2,7.5,0.428,4.7,8.2,0.569,2.8,3.5,0.8,0.2,4.2,4.4,4.2,0.9,0.3,2.9,1.8,21.7
36.0,Jalen Williams,OKC,25.0,32.1,8.5,17.0,0.5,2.0,5.2,0.385,6.5,11.8,0.551,2.8,3.4,0.812,0.9,5.2,6.1,5.0,2.0,0.8,2.2,2.7,21.7
37.0,Brandon Miller,CHO,22.0,34.4,7.5,18.5,0.406,3.9,11.0,0.353,3.6,7.5,0.485,2.7,3.0,0.894,1.0,4.2,5.2,3.5,1.1,0.8,2.9,2.7,21.5
